timestamp,symbol,side,entry_price,exit_price,quantity,pnl,pnl_R,duration_ms,slippage_entry,slippage_exit,exit_reason,mae,mfe
1770373350754,DOGEUSDT,BUY,0.09331,0.09332,523,0.00523,0.0026,293,,,position_closed,,
1770373351845,ETHUSDT,BUY,1958.56,1958.57,0.03,0.0003,0.0001,214,,,position_closed,,
1770373353606,SOLUSDT,SELL,84.58,84.57,0.4,0.004,0.002,290,,,position_closed,,
1770373376672,XRPUSDT,SELL,1.3428,1.3427,28,0.0028,0.0014,603,,,position_closed,,
1770373401403,SOLUSDT,SELL,81.02,81.00999999999999,0.4,0.004,0.002,963,,,confidence_exit,,
1770373446478,DOGEUSDT,SELL,0.09154,0.09153,502,0.00502,0.0025,987,,,confidence_exit,,
1770373451787,XRPUSDT,BUY,1.3486,1.3487,28,0.0028,0.0014,1263,,,confidence_exit,,
1770373458812,SOLUSDT,BUY,80.73,80.74000000000001,0.5,0.005,0.0026,4239,,,confidence_exit,,
1770373475668,ETHUSDT,SELL,1922.53,1922.525,0.03,0.00015,0.0001,537,,,position_closed,,
1770373516619,XRPUSDT,BUY,1.4017,1.4018,28,0.0028,0.0014,610,,,position_closed,,
1770373528952,SOLUSDT,BUY,84.62,84.63,0.5,0.005,0.0026,3259,,,confidence_exit,,
1770373530972,DOGEUSDT,BUY,0.09302,0.09303,470,0.0047,0.0024,608,,,position_closed,,
1770373568400,XRPUSDT,BUY,1.3911,1.3912,31,0.0031,0.0016,1448,,,confidence_exit,,
1770373571043,ETHUSDT,BUY,1962.26,1962.27,0.03,0.0003,0.0002,256,,,position_closed,,
1770373575877,SOLUSDT,BUY,81.28,81.28999999999999,0.5,0.005,0.0026,575,,,position_closed,,
1770373587346,DOGEUSDT,SELL,0.09225,0.09224,459,0.00459,0.0024,1642,,,confidence_exit,,
1770373616558,XRPUSDT,SELL,1.4126,1.4125,15,0.0015,0.0008,1038,,,confidence_exit,,
1770373623353,SOLUSDT,SELL,81.5,81.495,0.2,0.001,0.0005,604,,,position_closed,,
1770373641347,ETHUSDT,SELL,1890.51,1890.5,0.01,0.0001,0.0001,227,,,position_closed,,
1770373651708,DOGEUSDT,BUY,0.09291,0.09292,212,0.00212,0.0011,1294,,,confidence_exit,,
1770373687499,XRPUSDT,SELL,1.3155,1.3154,15,0.0015,0.0008,1831,,,confidence_exit,,
1770373691424,SOLUSDT,BUY,81.48,81.485,0.2,0.001,0.0005,2128,,,confidence_exit,,
1770373700060,ETHUSDT,BUY,1925.18,1925.19,0.02,0.0002,0.0001,289,,,position_closed,,
1770373716828,DOGEUSDT,BUY,0.09607,0.09608,208,0.00208,0.0011,1160,,,confidence_exit,,
1770373748792,XRPUSDT,BUY,1.3602,1.3603,17,0.0017,0.0009,3196,,,confidence_exit,,
1770373750227,SOLUSDT,SELL,84.61,84.6,0.2,0.002,0.0011,542,,,position_closed,,
1770373761604,ETHUSDT,BUY,1963.63,1963.64,0.01,0.0001,0.0001,870,,,confidence_exit,,
1770373770876,DOGEUSDT,SELL,0.09154,0.09153,218,0.00218,0.0012,230,,,position_closed,,
1770373796732,XRPUSDT,BUY,1.3177,1.3178,14,0.0014,0.0008,1154,,,confidence_exit,,
1770373819290,DOGEUSDT,SELL,0.09462,0.09461,240,0.0024,0.0013,934,,,confidence_exit,,
